PUID_SIX,GENDER_DESC,REPORTING_ETHNICITY,UNDERREPRESENTED_MINORITY_IND,ADMISSIONS_ATTRIBUTE_DESC,COUNTY_DESC,STATE_PROVINCE_DESC,NATION_DESC,RESIDENCY_DESC,CONFIDENTIALITY_IND,DECEASED_STATUS,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,CAMPUS,COURSE_IDENTIFICATION,COURSE_SECTION_NUMBER,COURSE_REFERENCE_NUMBER,REGISTRATION_STATUS,REGISTRATION_STATUS_DESC,FINAL_GRADE,REPEAT_COURSE_IND
159556,Female,White,N,,Boone,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
159813,Female,White,N,,Elkhart,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B-,
159834,Female,White,N,,Park,Wyoming,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
159851,Female,Asian,N,,Allen,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
159870,Male,White,N,,Ingham,Michigan,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,B+,I
160016,Female,International,N,,,,Nigeria,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,022,28591,RW,**Web Registered**,A-,
160177,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,020,28589,RW,**Web Registered**,A+,
160530,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
160683,Female,White,N,,White,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
160719,Male,Asian,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
160796,Male,White,N,,Boone,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,C-,
161140,Male,White,N,1st Generation Student,Kent,Michigan,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
161173,Female,Asian,N,,Arapahoe,Colorado,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RW,**Web Registered**,,
161338,Male,Black or African American,Y,1st Generation Student,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,018,28587,RW,**Web Registered**,C+,I
161668,Male,White,N,,Bergen,New Jersey,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
161674,Male,White,N,,Sussex,New Jersey,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
161833,Male,White,N,,Collin,Texas,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,037,32657,RW,**Web Registered**,A,
161905,Male,White,N,,Cuyahoga,Ohio,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,W,Withdrawn-W,W,
162111,Female,Black or African American,Y,,Cook,Illinois,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,022,28591,RW,**Web Registered**,C,I
162120,Female,White,N,,Coffee,Georgia,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
162432,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,W,Withdrawn-W,W,
162432,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,W,Withdrawn-W,W,
162514,Female,White,N,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B+,
162542,Male,White,N,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B+,
162584,Male,White,N,,Marion,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
162875,Male,White,N,,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,B+,
162882,Female,Hispanic/Latino,Y,1st Generation Student,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,W,Withdrawn-W,W,
162887,Male,International,N,,,,China,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
162989,Male,White,N,1st Generation Student,Hamilton,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,017,28586,RW,**Web Registered**,A+,
163009,Male,White,N,,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,A+,
163092,Female,Hispanic/Latino,Y,1st Generation Student,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,037,32657,RW,**Web Registered**,B,
163113,Male,White,N,,Hancock,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
163380,Female,White,N,,Howard,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
163404,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
163686,Male,International,N,,,,Hong Kong,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,A-,
163688,Female,White,N,,Carroll,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
163944,Female,Asian,N,1st Generation Student,Hamilton,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
164044,Male,White,N,,Boone,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,037,32657,RW,**Web Registered**,A+,
164073,Male,White,N,,Jasper,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,B-,
164194,Male,White,N,1st Generation Student,Lagrange,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RE,**Registered**,,
164259,Female,White,N,,,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B+,
164439,Female,White,N,,Rockingham,New Hampshire,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
164622,Male,Hispanic/Latino,Y,1st Generation Student,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,D+,
164818,Female,White,N,,Elkhart,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
164847,Female,White,N,,Hendricks,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
164882,Male,White,N,,Hancock,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
165133,Male,Asian,N,1st Generation Student,Bucks,Pennsylvania,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,A+,
165306,Female,Asian,N,,,,China,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,OL2,26668,RW,**Web Registered**,A,I
165315,Male,White,N,1st Generation Student,Morgan,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,CA,Cancel Administratively,,
165323,Female,International,N,,,,Colombia,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,018,28587,RE,**Registered**,C,
165344,Female,International,N,,Tippecanoe,Indiana,,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,A-,I
165462,Male,International,N,,,,Republic of Korea,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,021,28590,RW,**Web Registered**,I,
165611,Female,Asian,N,,Montgomery,Texas,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
165759,Female,Hispanic/Latino,Y,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
166025,Female,Asian,N,,,Illinois,United States,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B,
166146,Female,White,N,,Bartholomew,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
166153,Male,Black or African American,Y,,Wayne,Michigan,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS17200,103,37253,RW,**Web Registered**,,
166165,Female,Black or African American,Y,1st Generation Student,Worcester,Massachusetts,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,B-,
166295,Male,White,N,,Orange,North Carolina,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
166298,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,C+,
166326,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
166651,Male,White,N,,Hancock,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
166665,Male,White,N,,Hamilton,Indiana,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,020,28589,RE,**Registered**,D,
166686,Female,Hispanic/Latino,Y,,Sarasota,Florida,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
167511,Female,White,N,,St Joseph,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
167746,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
167775,Female,Hispanic/Latino,Y,1st Generation Student,Union,New Jersey,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,020,28589,RE,**Registered**,B+,
167802,Female,2 or more races,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RW,**Web Registered**,,
167815,Male,2 or more races,Y,1st Generation Student,St Joseph,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B-,
167845,Male,Unknown,N,,Hendricks,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,B,
167884,Male,Hispanic/Latino,Y,,Hamilton,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
167971,Male,White,N,,King,Washington,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,C+,
168015,Female,Asian,N,,Orange,California,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RW,**Web Registered**,,
168086,Female,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RW,**Web Registered**,A,
168197,Female,Asian,N,,Santa Clara,California,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,OL1,26669,RE,**Registered**,B+,
168241,Female,Asian,N,,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
168469,Female,White,N,1st Generation Student,Decatur,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
168530,Male,White,N,1st Generation Student,Kane,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
168535,Female,Hispanic/Latino,Y,,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
168659,Male,White,N,,Cook,Illinois,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
168997,Male,White,N,,Marshall,Indiana,United States,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,019,28588,RE,**Registered**,F,I
169438,Male,Hispanic/Latino,Y,,Middlesex,New Jersey,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,P,
169459,Female,White,N,1st Generation Student,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
169695,Female,White,N,,Monroe,New York,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B-,
169770,Female,White,N,,Miami,Ohio,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,022,28591,RE,**Registered**,A-,
169772,Female,White,N,1st Generation Student,,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,A-,
169773,Female,White,N,1st Generation Student,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,A,
169959,Male,White,N,,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,B+,
170107,Female,White,N,1st Generation Student,St Joseph,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,B+,
170137,Female,Black or African American,Y,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,A-,
170251,Male,White,N,,Floyd,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,B-,
170270,Female,White,N,,Hamilton,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,019,28588,RW,**Web Registered**,C+,I
170298,Male,White,N,,Onondaga,New York,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,018,28587,RW,**Web Registered**,A,
170310,Male,White,N,,Gwinnett,Georgia,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B,
170684,Female,White,N,,Marshall,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
170761,Male,2 or more races,Y,,Nassau,New York,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
170876,Male,Hispanic/Latino,Y,,Caguas,Puerto Rico,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,021,28590,RE,**Registered**,A-,
171127,Female,White,N,,Jefferson,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
171527,Female,Asian,N,1st Generation Student,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,A-,
171547,Female,White,N,,Kanawha,West Virginia,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,022,28591,RE,**Registered**,B-,
171811,Male,Asian,N,,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
172018,Male,White,N,,Lake,Indiana,United States,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,C,
172272,Male,White,N,1st Generation Student,Mecklenburg,North Carolina,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
172446,Male,International,N,,,,Taiwan,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL1,26669,RW,**Web Registered**,A-,
172647,Male,International,N,1st Generation Student,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL1,26669,RE,**Registered**,A,
172813,Male,Asian,N,,Montgomery,Maryland,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,C-,I
173361,Male,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL2,26668,RE,**Registered**,A,
173730,Male,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,A,
176463,Male,White,N,,Cook,Illinois,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,018,28587,RE,**Registered**,C-,I
178020,Male,Asian,N,,Marion,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,F,I
178945,Female,2 or more races,Y,,Honolulu,Hawaii,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
179195,Male,Black or African American,Y,1st Generation Student,Potter,Texas,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,B-,
179263,Male,2 or more races,N,,,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,D-,
179713,Female,Asian,N,,Merrimack,New Hampshire,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,C,
180246,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
180302,Female,White,N,,Hamilton,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
180429,Female,White,N,,Brown,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
181526,Female,International,N,,Norfolk,Massachusetts,,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
181994,Male,Hispanic/Latino,Y,,Jefferson,Kentucky,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS17200,092,21307,RW,**Web Registered**,,
182928,Male,White,N,,St Joseph,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS17200,102,26930,RE,**Registered**,,
183171,Male,International,N,,,,Taiwan,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,B+,
183261,Male,White,N,,Hendricks,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RE,**Registered**,,
183849,Male,International,N,1st Generation Student,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,C-,
183856,Male,International,N,1st Generation Student,,,China,Foreign,N,N,202210,Fall 2021,PWL,PHYS17200,092,21307,RW,**Web Registered**,,
183905,Male,Hispanic/Latino,Y,,Dupage,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
188057,Female,Black or African American,Y,,Cook,Illinois,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,OL1,26669,DC,Drop Course,,
188057,Female,Black or African American,Y,,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS17200,103,37253,DC,Drop Course,,
188201,Male,International,N,,Tippecanoe,Indiana,,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
188495,Female,International,N,,,,Canada,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
189107,Male,International,N,,La Porte,Indiana,,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,A+,
189173,Female,Unknown,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,C+,
189325,Female,White,N,1st Generation Student,Shelby,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
189771,Male,International,N,,,,Burma,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
189844,Male,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RW,**Web Registered**,B+,I
189873,Male,International,N,1st Generation Student,,,China,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
190174,Male,White,N,1st Generation Student,Johnson,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,022,28591,W,Withdrawn-W,W,
190216,Male,White,N,,Tuscaloosa,Alabama,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,B,I
190295,Male,White,N,1st Generation Student,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,C+,
190409,Male,White,N,,Tippecanoe,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS17200,017,28586,W,Withdrawn-W,W,
190461,Female,International,N,,,,Kuwait,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,017,28586,RW,**Web Registered**,C+,
190765,Male,International,N,,,,Taiwan,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,A-,
190805,Male,International,N,,,,Georgia,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL2,26668,RE,**Registered**,A-,
191125,Male,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,021,28590,RW,**Web Registered**,F,
191278,Female,Asian,N,,Los Angeles,California,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
191385,Male,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL2,26668,RE,**Registered**,A+,
192185,Male,White,N,,Prince William,Virginia,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
192387,Male,International,N,1st Generation Student,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,A+,
193249,Female,Asian,N,,San Diego,California,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
193619,Female,International,N,,,,United Arab Emirates,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,B,
194058,Male,White,N,1st Generation Student,Johnson,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,C+,
194277,Male,International,N,,,,Taiwan,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,CA,Cancel Administratively,,
194441,Female,International,N,,,,Saudi Arabia,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL1,26669,RE,**Registered**,A+,
194526,Female,Asian,N,,Cook,Illinois,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RW,**Web Registered**,,
194876,Female,International,N,1st Generation Student,,,United Arab Emirates,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,050,10333,RE,**Registered**,,
194947,Male,International,N,,,,Albania,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,021,28590,RE,**Registered**,A,
194948,Male,International,N,,,,Jamaica,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
195030,Male,Black or African American,Y,1st Generation Student,Elkhart,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS17200,102,26930,DC,Drop Course,,
195264,Male,International,N,1st Generation Student,,,China,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
195324,Female,International,N,,,,Philippines,Foreign,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
195593,Male,International,N,,,,Turkey,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,A-,
196028,Female,International,N,,,,Bolivia,Foreign,N,N,202210,Fall 2021,PWL,PHYS17200,092,21307,RW,**Web Registered**,,
196134,Male,White,N,,Franklin,Ohio,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RE,**Registered**,A+,
196284,Male,International,N,,,,Bangladesh,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL1,26669,RE,**Registered**,A+,I
196481,Male,Asian,N,,Cobb,Georgia,,Non-Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RW,**Web Registered**,,
196753,Male,2 or more races,Y,,Madison,Indiana,,Resident,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,A+,
197761,Female,2 or more races,N,,,Oregon,United States,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RE,**Registered**,A,
198048,Male,White,N,,King,Washington,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,D-,
198245,Female,Black or African American,Y,,Fulton,Georgia,,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,001,25707,RW,**Web Registered**,A-,
199902,Male,Hispanic/Latino,Y,1st Generation Student,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RW,**Web Registered**,,
199953,Female,White,N,,Tippecanoe,Indiana,United States,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
200654,Male,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,A,
200691,Male,Asian,N,,,,Republic of Korea,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RW,**Web Registered**,F,
200787,Male,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL2,26668,RW,**Web Registered**,B-,I
200815,Male,International,N,,,Foreign County,Republic of Korea,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,OL2,26668,RE,**Registered**,D+,
200833,Female,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RE,**Registered**,A+,
200925,Male,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,A,
201353,Male,International,N,,,,China,Foreign,N,N,202210,Fall 2021,PWL,PHYS17200,092,21307,DC,Drop Course,,
201697,Female,International,N,,,,United Arab Emirates,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,018,28587,RW,**Web Registered**,A+,
202138,Female,International,N,,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,OL1,26670,RE,**Registered**,A,
202823,Male,International,N,1st Generation Student,,,China,Foreign,N,N,202120,Spring 2021,PWL,PHYS17200,019,28588,RW,**Web Registered**,B,
203629,Female,White,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RW,**Web Registered**,,
204277,Male,Asian,N,,Allen,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS17200,092,21307,RW,**Web Registered**,,
204644,Female,International,N,,Tippecanoe,Indiana,,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,002,25708,RW,**Web Registered**,A+,
204958,Male,Hispanic/Latino,Y,,,,Chile,Non-Resident,N,N,202120,Spring 2021,PWL,PHYS17200,017,28586,RW,**Web Registered**,B-,
205578,Male,2 or more races,Y,,Lake,Indiana,United States,Resident,N,N,202210,Fall 2021,PWL,PHYS17200,101,37254,RE,**Registered**,,
206512,Female,White,N,,St Joseph,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,002,27016,RE,**Registered**,,
206943,Female,White,N,,Lake,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,003,27017,RE,**Registered**,,
207622,Male,International,N,,,,Poland,Foreign,N,N,202120,Spring 2021,PWL,PHYS22000,003,11270,RW,**Web Registered**,B,
208372,Female,Asian,N,,Tippecanoe,Indiana,,Resident,N,N,202210,Fall 2021,PWL,PHYS22000,062,23960,RE,**Registered**,,
